title,rating,reviews
Belarusian State University,4.1,333
Concordia University,4.1,765
National Taiwan University of Science and Technology,4.6,1633
Universitas Brunei Darussalam,4.3,128
INSA Lyon,4.6,287
South China University of Technology,4.3,86
Technion,4.6,824
Universitas Xiamen,4.6,237
Universitas Justus Liebig Giessen,4.3,176
Universitas Negeri Kazan,4.4,905
Universitas Stony Brook,4.4,1054
HSE University,4.5,381
Iowa State University,4.6,304
Universidade NOVA de Lisboa,4.4,145
Universitas Granada,3.8,143
Universitas Teknik Istanbul,4.6,1850
Universitas California,4.4,734
"Universitas Filipina, Diliman",4.6,1545
Universitas Teknologi Auckland,4.5,481
Universitas Delhi,4.2,3037
Colorado State University,4.3,352
Universitas Santiago de Chile,4.6,693
Universitas Kansas,4.1,285
University of Southern Queensland (UniSQ),4.1,237
Oxford Brookes University,4.4,349
Royal Holloway,4.6,610
Universitas James Cook Singapura,3.9,160
Moscow Institute of Physics and Technology,4.6,662
Universitas Amerika di Kairo,4.5,2149
Tomsk State University,4.5,440
Instituto de Artes - Câmpus de São Paulo - IA/Unesp,4.8,122
Washington State University,5,2
TU Graz,4.7,139
Novosibirsk State University,4.6,569
University of Canberra,4,347
University of Liège,4.3,510
Strasbourg University,4.4,458
University of Limerick,4.7,477
Anna University,4.4,2304
IE University,4.4,87
Universitas Teknologi dan Desain Singapura,4.7,320
Universitas Trento,4.5,51
Universitas Koç,4.5,702
Universitas Murdoch,4.2,404
Universitas Nasional Teknologi Taipei,4.4,1256
National Taiwan Normal University,4.4,1415
Universitas Stirling,4.4,384
Dublin City University,4.4,499
Sejong University,4.4,532
"Tampere University, City Centre Campus",4.5,178
University of Science and Technology Beijing,4.5,8
Indian Institute of Technology Indore,4.5,469
Southeast University,4.5,1162
Universitas Sultan Qabus,4.5,1462
University of Mannheim,4.5,375
Universitas Essex,4.3,557
Universitas Potsdam,4.6,263
Universitas Negeri Florida,4.5,500
Moscow Engineering Physics Institute (MEPI),4.5,360
"Friedrich-Schiller-Universität,",3.6,15
Universitas Mainz,4.3,1014
Colorado School of Mines,4.5,96
Umeå universitet,4.6,230
University of Bordeaux,3.9,19
University of Sharjah,4.2,530
Universitas Ben-Gurion Negev,4.3,956
Illinois Institute of Technology,4.4,392
The University of Pavia,4.6,535
Hiroshima University,4.3,292
Beihang University,5,5
Ural Federal University,4.1,270
Universitas Vilnius,4.6,660
"Kobe University, Rokkoudai 1st Campus",4.2,80
Valencia Polytechnic University,4.5,1328
University of Konstanz,4.4,222
Universitas Leipzig,4.6,657
Missouri University of Science and Technology,4.4,196
Bangor University,4.6,414
Hitotsubashi University,4.3,279
Universitas Hannover,4.2,696
Satbayev University,4.2,676
University of Milan,4.2,585
University of Valencia,3.9,707
电子科技大学,5,9
Universitas Guelph,4.5,615
Institut Pertanian Bogor,4.7,3409
"University of Rome ""Tor Vergata""",4.3,557
Dalian University of Technology,4.7,50
University at Buffalo (North Campus),4.3,262
Universitas Iowa,4.3,184
Universitas Chung-Ang,4.6,660
Hunan University,4.8,52
Rensselaer Polytechnic Institute,4.3,274
University of Seville,4.3,1776
Ewha Womans University,4.6,1193
